ID,Sample Type,TEQ,BDE-47,BDE-99,BDE-153,BDE-209
50,fish,0.086507782,12.00220426,0.55206733,0.852648454,5.631888317
51,fish,0.117305205,0,0,0,0
52,fish,0.009532879,4.966566984,0.833305332,0.323913847,3.701824535
53,fish,0.154292653,0,0,0,0
54,fish,0.013183381,5.077106339,0.501271691,0.424326326,30.16193941
55,fish,0.009924008,5.627773427,0.601996868,0.238514748,23.14310885
56,fish,0.078138287,12.15428126,1.750861452,1.089005916,24.62096093
57,fish,0.055529519,13.14650551,6.984761348,2.68772135,128.3598141
58,fish,0.070116455,0,0,0,0
59,fish,0.060460069,3.326007544,0,0.642095572,22.51106293
60,fish,0.030616591,3.844484519,0,0.161078338,7.871137329
61,fish,0.006173447,1.327308397,0,0.197793716,198.7958705
62,fish,0.010176117,0.758451826,0,0.144551301,19.44893504
63,fish,0.362474678,25.27686874,0.296147491,2.770307488,256.1636912
64,fish,0.067756449,8.381350341,0,0.541958591,115.6775268
65,fish,0.023139083,5.516179705,0,0.765001571,178.8708765
66,fish,0.02165477,5.266568765,0,0.512386668,1032.223215
67,fish,0.085560775,11.43896887,0,1.07153163,9.063772484
68,fish,0.020615006,1.354330224,0,0.251839537,42.65755365
69,fish,0.010850738,4.818170496,0,0.409739087,10.34093032
70,fish,0.059606852,11.37917957,0.760697807,1.431009418,64.8723216
71,fish,0.020335495,3.900966184,0,0.431604373,15.16717518
72,fish,0.132164652,11.85310698,0.128058914,0.931930007,2.955782202
73,fish,0.037506218,6.229660878,0.513066345,0.458280831,0
74,fish,0.040917715,4.846803739,0,0.439673179,19.74304802
75,fish,0.034658272,1.795419283,0,0.566957351,0
76,fish,0.066525991,2.475712142,0,0.416321472,19.88619239
77,fish,0.097661155,5.325913914,0,0.871723113,35.24224525
78,fish,0.042633845,3.736099136,0,0.187150313,19.54059773
79,fish,0.014608913,1.893214809,0,0.707756501,26.06282867
80,fish,0.060613195,2.301723017,0.788745031,1.256627362,66.90174063
81,fish,0.038238791,1.721595613,0,0.350244308,26.47702133
82,fish,0.072578219,4.434081036,0,0.338226643,23.35670753
83,fish,0.029124474,4.015660327,0,0.39490948,6.87556374
84,fish,0.024087474,0.096029981,0,0,25.18453885
85,fish,0.080244067,8.287552088,0.390333209,0.76039786,71.02822146
86,fish,0.073995511,3.749977306,0,0.454542704,25.21460367
87,fish,0.094474549,3.4436529,0,0.410314648,43.1787228
88,fish,0.131679499,1.800879604,0,0.212111371,28.04163211
89,fish,0.048130722,6.063423853,0,1.286002153,62.76543681
90,fish,0.008204086,0.582396728,0,0.47524091,14.45761838
91,fish,0.013368936,1.45308511,0.144243854,0.709885824,20.20822051
